Date  AddAPIElements  RemoveAPIElements ChangeAPIElements ChangeFieldDataType ErrorConditionChange  ChangeAuthentication  BehaviorChange  ChangeAuthorization
2011-09-15  0 0 0 0 0 0 1 0
2011-09-16  0 0 0 1 0 0 0 0
2011-09-27  0 2 0 0 0 0 0 0
2011-11-17  0 0 0 0 1 0 0 0
2012-02-23  0 0 1 0 0 0 0 0
2012-03-25  0 0 1 0 0 0 0 0
2012-06-18  0 2 0 0 0 0 0 0
2012-06-28  0 0 2 0 0 0 0 0
2012-07-09  0 7 0 0 0 0 0 0
2012-09-24  0 1 0 0 0 0 0 0
2012-10-26  0 0 0 1 0 0 0 0
2012-11-07  0 0 1 0 0 0 0 0
2013-02-11  0 0 0 0 1 0 1 0
2013-02-13  3 0 0 0 0 0 0 0
2013-07-05  1 1 1 0 0 0 0 0
2013-08-12  0 0 0 5 0 0 1 0
2013-08-13  0 0 2 1 0 0 0 0
2013-10-29  0 0 0 0 0 0 1 0
2013-12-03  0 0 2 0 0 0 1 0
2014-01-31  0 0 1 1 0 0 1 0
2014-03-13  0 0 1 0 0 0 0 0
2014-03-28  1 0 1 0 0 0 0 0
2014-05-19  0 0 1 0 0 0 1 0
2014-06-13  0 0 1 0 0 0 0 0
2014-06-17  0 0 0 1 0 0 0 0
2014-07-22  2 0 0 0 0 0 0 0
2014-07-26  0 0 0 1 0 0 0 0
2014-08-04  1 0 3 0 0 0 0 0
2014-08-20  0 0 2 0 0 0 0 0
2014-09-08  0 0 3 0 0 0 0 0
2014-10-07  0 1 0 0 0 0 1 0
